LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-09-25 21:25:22,1900-01-00 00:00:00,,B2:0C:6B:34:D9:FB,-68, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,90:48:6C:51:81:C4,-67,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,6E:63:9C:CA:A0:2B,-68, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,90:48:6C:51:81:C4,-70,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,90:48:6C:51:81:C4,-67,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,90:48:6C:51:81:C4,-73,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,90:48:6C:51:81:C4,-71,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,90:48:6C:51:81:C4,-71,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:05:FE,-73, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:06:02,-73, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,1A:59:C0:3B:E2:3F,-75, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,90:D0:92:10:2B:D4,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,88:9E:68:88:60:64,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:05:FD,-77, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:06:00,-73, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:ED:B9:E4,-80, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,88:9E:68:88:60:66,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,80:D0:4A:DE:88:19,-89, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,10:C4:CA:26:B3:54,-77, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,80:D0:4A:DE:88:1B,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,1E:59:C0:3B:E2:3F,-75, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:DD:AA:58,-82, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:DD:AA:59,-83, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:DD:AA:5B,-84, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:DD:AA:5D,-83, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,86:F3:EB:D3:6B:73,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:05:FD,-72, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:05:FE,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:06:02,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,HighInTheSky,90:D0:92:10:2B:D4,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,Sfnbrg21,A0:FF:70:F6:05:FD,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,Sfnbrg21,A0:FF:70:F6:05:FD,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:06:00,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,88:9E:68:88:60:63,-86, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,SETUP-B9DF,4A:BD:CE:ED:B9:E4,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:ED:B9:E5,-80, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:ED:B9:E7,-80, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,88:9E:68:88:60:66,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,80:D0:4A:DE:88:18,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,80:D0:4A:DE:88:19,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,22:59:C0:3B:E2:3F,-75, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,ATT8NZ6HI2,10:C4:CA:26:B3:54,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,80:D0:4A:DE:88:1B,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,HawaiiG2,4A:BD:CE:DD:AA:58,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:DD:AA:59,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:DD:AA:5B,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,4A:BD:CE:DD:AA:5D,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,ECOVACS_8099,86:F3:EB:D3:6B:73,-85, OPN,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:72:EA:82:34:12,-78, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,Sfnbrg21,A0:FF:70:F6:05:FD,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:05:FE,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:06:02,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,CXXX{}============>,1A:59:C0:3B:E2:3F,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,HighInTheSky,90:D0:92:10:2B:D4,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,HighInTheSky,90:D0:92:10:2B:D4,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,Sfnbrg21,A0:FF:70:F6:05:FD,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,Sfnbrg21,A0:FF:70:F6:05:FD,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,88:9E:68:88:60:64,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,88:9E:68:88:60:68,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,A0:FF:70:F6:06:00,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,SETUP-B9DF,4A:BD:CE:ED:B9:E4,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,SETUP-8814,80:D0:4A:DE:88:18,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,12:BC:95:B7:22:83,-44,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:65,-73, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,EC:B1:D7:D4:15:DD,-76, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:65,-76, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6C:EC:87,-61, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6C:EC:85,-59, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:65,-72, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:65,-75, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:65,-76, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:65,-75, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:63,-74, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:65,-77, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,MiaJayCo65,F0:21:E0:6F:B0:65,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,MiaJayCo65,F0:21:E0:6F:B0:65,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,MiaJayCo65,F0:21:E0:6F:B0:65,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,MiaJayCo65,F0:21:E0:6F:B0:65,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,MiaJayCo65,F0:21:E0:6F:B0:65,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,10:5A:17:13:3E:FD,-77,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6C:EC:87,-61, OPN,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6C:EC:83,-59, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,MiaJayCo65,F0:21:E0:6C:EC:85,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,10:5A:17:13:E6:35,-77,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,50:8A:06:60:9A:DF,-79,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:67,-75, ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,F0:21:E0:6F:B0:63,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,MiaJayCo65,F0:21:E0:6F:B0:65,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,,B4:FB:E3:EF:62:B3,-85,,0.000000,0.000000,0.000,0.000,Client
2023-09-25 21:25:22,1900-01-00 00:00:00,MiaJayCo65,F0:21:E0:6F:B0:65,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,HP-Print-DD-Officejet Pro 6830,EC:B1:D7:D4:15:DD,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-09-25 21:25:22,1900-01-00 00:00:00,MiaJayCo65,F0:21:E0:6F:B0:65,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
