Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
11;infrastructure;DIRECT-1E-HP DeskJet 2700 series;A8:B1:3B:D5:64:1F;;6;No;WPA2,AES-CCM;No;65.0;0;18;0;0;0;0;0;;;Wed Sep 20 21:05:10 2023;Wed Sep 20 21:05:31 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Mykonos;B6:B9:8A:51:36:61;;4;No;WPA2,AES-CCM;No;360.0;0;6;0;1;0;0;1;;;Wed Sep 20 21:05:05 2023;Wed Sep 20 21:05:30 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;SETUP-2ECE;A0:FF:70:DF:2E:D2;;6;No;WPA2,AES-CCM;No;130.0;0;11;0;3;0;0;3;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:32 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;;30:57:8E:A4:F2:C3;;5;No;WPA3,AES-CCM,SAE;No;360.0;0;7;0;0;0;0;0;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:31 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;[LG_Wall-Mount A/C]17df;1E:39:29:64:17:DF;;11;No;WPA2,AES-CCM;No;65.0;0;22;0;0;0;0;0;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:31 2023;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;NETGEAR86;C8:9E:43:47:78:59;;5;No;WPA2,AES-CCM;No;130.0;0;12;0;13;0;0;13;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:31 2023;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Shark_RV2500AWF-NA-684e05d8f243;68:4E:05:D8:F2:43;;6;No;OPN,None;No;54.0;0;25;0;0;0;0;0;;;Wed Sep 20 21:05:04 2023;Wed Sep 20 21:05:29 2023;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;[LG_Wall-Mount A/C]cb41;4E:BA:D7:D5:CB:41;;11;No;WPA2,AES-CCM;No;65.0;0;23;0;0;0;0;0;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:31 2023;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;NETGEAR86;C8:9E:43:8C:1B:B2;;5;No;WPA2,AES-CCM;No;360.0;0;29;0;7;0;0;7;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:31 2023;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;[LG_Wall-Mount A/C]8835;4E:BA:D7:D7:88:35;;11;No;WPA2,AES-CCM;No;65.0;0;32;0;0;0;0;0;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:32 2023;-37;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;DIRECT-EB-HP OfficeJet Pro 7740;06:0E:3C:F8:08:EB;;6;No;WPA2,AES-CCM;No;65.0;0;19;0;0;0;0;0;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:32 2023;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;;C8:9E:43:47:78:58;;5;No;None;No;-1.0;0;0;0;0;0;0;0;;;Wed Sep 20 21:05:13 2023;Wed Sep 20 21:05:13 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
