Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Verizon-M3100-Guest-C3F3;18:EE:86:2D:C3:F3;;1;No;WPA3,AES-CCM,SAE;No;360.0;0;8;0;0;0;0;0;;;Wed Sep 20 21:05:07 2023;Wed Sep 20 21:05:32 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;BA:B9:8A:51:36:61;;4;No;WPA2,AES-CCM;No;360.0;0;8;0;0;0;0;0;;;Wed Sep 20 21:05:05 2023;Wed Sep 20 21:05:30 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;E2:DB:D1:15:FE:68;;6;No;WPA2,AES-CCM;No;260.0;0;8;0;1;0;0;1;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:28 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Dormak;E0:DB:D1:14:FE:6B;;6;No;WPA2,AES-CCM;No;260.0;0;7;0;2;0;0;2;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:28 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;E2:DB:D1:15:FE:6E;;6;No;WPA2,AES-CCM;No;260.0;0;6;0;0;0;0;0;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:28 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;E2:DB:D1:15:FE:6C;;6;No;WPA2,AES-CCM;No;260.0;0;6;0;0;0;0;0;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:28 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Dalke Residence;30:57:8E:A4:F2:C6;;5;No;WPA2,AES-CCM;No;360.0;0;7;0;1;0;0;1;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:31 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;A0:FF:70:DF:2E:D7;;6;No;WPA2,WPA,AES-CCM;No;130.0;0;11;0;0;0;0;0;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:32 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;30:57:8E:A4:F2:C9;;5;No;OPN,None;No;360.0;0;4;0;0;0;0;0;;;Wed Sep 20 21:05:09 2023;Wed Sep 20 21:05:31 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;A0:FF:70:DF:2E:D3;;6;No;WPA2,AES-CCM;No;130.0;0;12;0;0;0;0;0;;;Wed Sep 20 21:05:06 2023;Wed Sep 20 21:05:32 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
